N°,Mes,Quincena,Período,Días,Promedio (mm),P10 (mm),P90 (mm),Lluvia observada (mm),Estado
1,Enero,1,1–15,15.0,43.0,19.8,69.4,,
2,Enero,2,16–fin de mes,16.0,45.8,21.2,74.1,,
3,Febrero,1,1–15,15.0,52.5,21.3,75.5,,
4,Febrero,2,16–28/29,13.27,46.4,18.8,66.8,,
5,Marzo,1,1–15,15.0,44.3,17.8,73.7,,
6,Marzo,2,16–fin de mes,16.0,47.3,19.0,78.7,,
7,Abril,1,1–15,15.0,39.2,9.9,72.3,,
8,Abril,2,16–fin de mes,15.0,39.2,9.9,72.3,,
9,Mayo,1,1–15,15.0,25.7,3.4,58.3,,
10,Mayo,2,16–fin de mes,16.0,27.5,3.6,62.2,,
11,Junio,1,1–15,15.0,14.5,1.2,36.0,,
12,Junio,2,16–fin de mes,15.0,14.5,1.2,36.0,,
13,Julio,1,1–15,15.0,13.9,0.5,37.3,,
14,Julio,2,16–fin de mes,16.0,14.9,0.5,39.7,,
15,Agosto,1,1–15,15.0,19.3,1.9,44.5,,
16,Agosto,2,16–fin de mes,16.0,20.6,2.1,47.5,,
17,Septiembre,1,1–15,15.0,28.1,8.7,55.2,,
18,Septiembre,2,16–fin de mes,15.0,28.1,8.7,55.2,,
19,Octubre,1,1–15,15.0,40.2,16.7,65.1,,
20,Octubre,2,16–fin de mes,16.0,42.8,17.8,69.4,,
21,Noviembre,1,1–15,15.0,41.5,16.7,67.5,,
22,Noviembre,2,16–fin de mes,15.0,41.5,16.7,67.5,,
23,Diciembre,1,1–15,15.0,36.9,14.0,64.4,,
24,Diciembre,2,16–fin de mes,16.0,39.3,15.0,68.6,,
