periodo,lote,categoria,cantidad,nombre_grupo,anio_nacimiento,rango_edad,estado_salud,estado_reproductivo,raza,notas
2026-07,ER-01,Vacas de cría,80,,,,,,,
2026-07,ER-01,Toros reproductores,2,,,,,,,
2026-07,ER-01,Vacas de último ternero (CUT),96,,,,,,,
2026-07,ER-02,Vacas de cría,100,,,,,,,
2026-07,ER-02,Terneros,55,,,,,,,
2026-07,ER-02,Terneras,56,,,,,,,
2026-07,ER-02,Toros reproductores,4,,,,,,,
2026-07,ER-02,Vacas de último ternero (CUT),2,,,,,,,
2026-07,ER-03,Vacas de cría,92,,,,,,,
2026-07,ER-03,Toros reproductores,3,,,,,,,
2026-07,ER-06,Vacas de cría,40,,,,,,,
2026-07,ER-10,Hembras fuera del rodeo de cría,63,,,,,,,
2026-07,ER-11,Vacas de cría,2,,,,,,,
2026-07,ER-11,Vaquillonas de reposición,8,,,,,,,
2026-07,ER-11,Terneros,2,,,,,,,
2026-07,ER-11,Toros reproductores,1,,,,,,,
2026-07,ER-12,Terneros,112,,,,,,,
2026-07,ER-12,Terneras,136,,,,,,,
2026-07,ER-12,Machos de recría y engorde,16,,,,,,,
2026-07,ER-12,Toros reproductores,7,,,,,,,
2026-07,ER-13,Vaquillonas de reposición,63,,,,,,,
2026-07,ER-13,Hembras fuera del rodeo de cría,18,,,,,,,
2026-07,ER-14,Vacas de cría,35,,,,,,,
2026-07,ER-14,Terneros,35,,,,,,,
2026-07,ER-14,Terneras,12,,,,,,,
2026-07,ER-14,Vacas de último ternero (CUT),9,,,,,,,
2026-07,ER-15/16,Vacas de último ternero (CUT),117,,,,,,,
2026-07,ER-15/16,Machos de recría y engorde,7,,,,,,,
2026-07,ER-18,Vaquillonas de reposición,239,,,,,,,
2026-07,ER-18,Toros reproductores,11,,,,,,,
2026-07,ER-19,Vacas de cría,86,,,,,,,
2026-07,ER-19,Terneros,35,,,,,,,
2026-07,ER-19,Terneras,50,,,,,,,
2026-07,ER-19,Toros reproductores,1,,,,,,,
2026-07,ER-20/21,Terneros,122,,,,,,,
2026-07,ER-20/21,Terneras,122,,,,,,,
